BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
15745,ZC015745,22320,TORRNGTN,TORRINGTON,6.1578,8.8416,2.6448,0.411,0
15746,ZC015746,22322,TORRNGTN,TORRINGTON,5.6838,8.3154,2.5086,0.4062,0
15747,ZC015747,22324,TORRNGTN,TORRINGTON,6.1446,8.8548,2.6166,0.4092,0
15748,ZC015748,22324B,TORRNGTN,TORRINGTON,6.174,8.8254,2.679,0.4122,0
15749,ZC015749,22326,TORRNGTN,TORRINGTON,6.1728,8.8266,2.6766,0.4122,0
15750,ZC015750,22328,TORRNGTN,TORRINGTON,5.718,8.2818,2.5758,0.408,0
15751,ZC015751,22330,TORRNGTN,TORRINGTON,6.1698,8.8284,2.6688,0.411,0
15752,ZC015752,22332,TORRNGTN,TORRINGTON,6.6426,9.3564,2.7978,0.4152,0
15753,ZC015753,22334,TORRNGTN,TORRINGTON,6.147,8.8524,2.622,0.4092,0
15754,ZC015754,22336,TORRNGTN,TORRINGTON,6.1926,8.8068,2.7198,0.4128,0
15755,ZC015755,22338,TORRNGTN,TORRINGTON,6.6348,9.3636,2.784,0.1152,0
15756,ZC015756,22340,TORRNGTN,TORRINGTON,6.1608,8.8386,2.6526,0.411,0
15757,ZC015757,22344,TORRNGTN,TORRINGTON,6.165,8.8344,2.6646,0.411,0
15758,ZC015758,22344B,TORRNGTN,TORRINGTON SD BEARINGS,6.2022,8.7978,2.7515,0.4135,0
15759,ZC015759,22348,TORRNGTN,TORRINGTON,6.171,8.8284,2.6796,0.411,0
15760,ZC015760,22348B,TORRNGTN,TORRINGTON SD BEARINGS,6.6658,9.3342,2.8611,0.4166,0
15761,ZC015761,22352,TORRNGTN,TORRINGTON SD BEARINGS,6.1744,8.8256,2.6889,0.4116,0
15762,ZC015762,22356,TORRNGTN,TORRINGTON SD BEARINGS,6.1734,8.8266,2.6881,0.4116,0
15763,ZC015763,230-1500,TORRNGTN,TORRINGTON SD BEARINGS,13.7345,16.2655,5.8413,0.4578,0
15764,ZC015764,230-500,TORRNGTN,TORRINGTON,13.1604,15.8382,5.3226,0.4542,0
15765,ZC015765,230-500B,TORRNGTN,TORRINGTON SD BEARINGS,14.2279,16.7721,6.0018,0.459,0
15766,ZC015766,230-530,TORRNGTN,TORRINGTON SD BEARINGS,12.6559,15.3441,5.1138,0.452,0
15767,ZC015767,230-530B,TORRNGTN,TORRINGTON SD BEARINGS,13.7138,16.2862,5.7388,0.4571,0
15768,ZC015768,230-560,TORRNGTN,TORRINGTON SD BEARINGS,12.6519,15.3481,5.0981,0.4519,0
15769,ZC015769,230-600,TORRNGTN,TORRINGTON,13.1574,15.8412,5.31,0.4542,0
15770,ZC015770,230-630,TORRNGTN,TORRINGTON SD BEARINGS,12.6589,15.3411,5.1283,0.4521,0
15771,ZC015771,230-670,TORRNGTN,TORRINGTON SD BEARINGS,12.707,15.293,5.3217,0.4538,0
15772,ZC015772,230-710,TORRNGTN,TORRINGTON SD BEARINGS,14.2193,16.7807,5.9603,0.4587,0
15773,ZC015773,230-750,TORRNGTN,TORRINGTON SD BEARINGS,12.7287,15.2713,5.4152,0.4546,0
15774,ZC015774,230-800,TORRNGTN,TORRINGTON SD BEARINGS,13.2189,15.7811,5.5702,0.4558,0
15775,ZC015775,230-850,TORRNGTN,TORRINGTON SD BEARINGS,13.6801,16.3199,5.5963,0.456,0
15776,ZC015776,230-900,TORRNGTN,TORRINGTON SD BEARINGS,14.164,16.836,5.7152,0.4569,0
15777,ZC015777,230-950,TORRNGTN,TORRINGTON SD BEARINGS,13.2456,15.7544,5.6916,0.4567,0
15778,ZC015778,23022,TORRNGTN,TORRINGTON SD BEARINGS,10.7193,13.2807,4.5781,0.4466,0
15779,ZC015779,23024,TORRNGTN,TORRINGTON SD BEARINGS,11.2253,13.7747,4.8012,0.449,0
15780,ZC015780,23026,TORRNGTN,TORRINGTON,11.1654,13.8324,4.5816,0.447,0
15781,ZC015781,23028,TORRNGTN,TORRINGTON SD BEARINGS,11.6924,14.3076,4.8701,0.4497,0
15782,ZC015782,23028B,TORRNGTN,TORRINGTON SD BEARINGS,12.7542,15.2458,5.5233,0.4555,0
15783,ZC015783,23030,TORRNGTN,TORRINGTON SD BEARINGS,11.6876,14.3124,4.8531,0.4495,0
15784,ZC015784,23032,TORRNGTN,TORRINGTON,11.6838,14.3142,4.8408,0.4488,0
15785,ZC015785,23034,TORRNGTN,TORRINGTON SD BEARINGS,11.2052,13.7948,4.7269,0.4482,0
15786,ZC015786,23036,TORRNGTN,TORRINGTON SD BEARINGS,10.6711,13.3289,4.4082,0.4446,0
15787,ZC015787,23038,TORRNGTN,TORRINGTON,11.2224,13.7766,4.7868,0.4488,0
15788,ZC015788,23040,TORRNGTN,TORRINGTON,11.1654,13.8336,4.5786,0.447,0
15789,ZC015789,23044,TORRNGTN,TORRINGTON,10.7304,13.2684,4.6218,0.447,0
15790,ZC015790,23048,TORRNGTN,TORRINGTON,13.2216,15.7776,5.5698,0.456,0
15791,ZC015791,23052,TORRNGTN,TORRINGTON SD BEARINGS,11.1553,13.8447,4.5431,0.4462,0
15792,ZC015792,23052B,TORRNGTN,TORRINGTON SD BEARINGS,12.2281,14.7719,5.2068,0.4529,0
15793,ZC015793,23056,TORRNGTN,TORRINGTON SD BEARINGS,11.6767,14.3233,4.8112,0.4491,0
15794,ZC015794,23060,TORRNGTN,TORRINGTON SD BEARINGS,11.1595,13.8405,4.5592,0.4464,0
15795,ZC015795,23060B,TORRNGTN,TORRINGTON SD BEARINGS,12.2235,14.7765,5.1879,0.4527,0
15796,ZC015796,23064,TORRNGTN,TORRINGTON,11.6736,14.3256,4.8,0.4488,0
15797,ZC015797,23068,TORRNGTN,TORRINGTON,11.6508,14.3472,4.7166,0.4482,0
15798,ZC015798,23068B,TORRNGTN,TORRINGTON SD BEARINGS,12.2054,14.7946,5.1141,0.4521,0
15799,ZC015799,23072,TORRNGTN,TORRINGTON SD BEARINGS,12.1603,14.8397,4.9393,0.4504,0
15800,ZC015800,23076,TORRNGTN,TORRINGTON,12.6636,15.3354,5.1426,0.4518,0
15801,ZC015801,23076B,TORRNGTN,TORRINGTON,13.7052,16.2936,5.6988,0.4572,0
15802,ZC015802,23080,TORRNGTN,TORRINGTON SD BEARINGS,12.1569,14.8431,4.9273,0.4503,0
15803,ZC015803,23080B,TORRNGTN,TORRINGTON,13.2294,15.7686,5.6148,0.456,0
15804,ZC015804,23084,TORRNGTN,TORRINGTON SD BEARINGS,12.6598,15.3402,5.1268,0.4521,0
15805,ZC015805,23084B,TORRNGTN,TORRINGTON SD BEARINGS,13.7415,16.2586,5.8667,0.458,0
15806,ZC015806,23088,TORRNGTN,TORRINGTON SD BEARINGS,12.6578,15.3422,5.1194,0.4521,0
15807,ZC015807,23092,TORRNGTN,TORRINGTON SD BEARINGS,12.6576,15.3424,5.119,0.4521,0
15808,ZC015808,23092B,TORRNGTN,TORRINGTON SD BEARINGS,13.2301,15.7699,5.6168,0.4562,0
15809,ZC015809,23096,TORRNGTN,TORRINGTON SD BEARINGS,12.6679,15.3321,5.1614,0.4524,0
15810,ZC015810,23096B,TORRNGTN,TORRINGTON SD BEARINGS,13.7294,16.2706,5.8125,0.4576,0
15811,ZC015811,231-500,TORRNGTN,TORRINGTON SD BEARINGS,9.183,11.817,3.8551,0.4373,0
15812,ZC015812,231-530,TORRNGTN,TORRINGTON SD BEARINGS,9.6792,12.3208,4.0353,0.44,0
15813,ZC015813,231-560,TORRNGTN,TORRINGTON SD BEARINGS,9.2027,11.7973,3.9218,0.4382,0
15814,ZC015814,231-600,TORRNGTN,TORRINGTON SD BEARINGS,9.6747,12.3253,4.0242,0.4398,0
15815,ZC015815,231-630,TORRNGTN,TORRINGTON SD BEARINGS,9.2645,11.7355,4.1238,0.4412,0
15816,ZC015816,231-670,TORRNGTN,TORRINGTON SD BEARINGS,9.6703,12.3297,4.0099,0.4396,0
15817,ZC015817,231-800,TORRNGTN,TORRINGTON SD BEARINGS,9.7203,12.2797,4.1786,0.4418,0
