BEARINGID,CODE,NAME=型号,MANUFACTURE,DESCRIPTION,BPFO=外圈,BPFI=内圈,BSF=滚子,FTF=保持架,EDITSTATUS
1,ZC000001,100,BARDEN,BARDEN PRECISION BEARINGS,2.5959,4.4041,1.767,0.3708,0
2,ZC000002,100H,BARDEN,BARDEN PRECISION BEARINGS,3.3521,5.6479,1.77015,0.3725,0
3,ZC000003,101,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
4,ZC000004,101H,BARDEN,BARDEN PRECISION BEARINGS,3.8638,6.1362,2.0156,0.3864,0
5,ZC000005,102,BARDEN,BARDEN PRECISION BEARINGS,3.6078,5.3922,2.3697,0.4009,0
6,ZC000006,102H,BARDEN,BARDEN PRECISION BEARINGS,4.4231,6.5769,2.3721,0.4021,0
7,ZC000007,103,BARDEN,BARDEN PRECISION BEARINGS,4.1054,5.8946,2.6458,0.4105,0
8,ZC000008,103H,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
9,ZC000009,104,BARDEN,BARDEN PRECISION BEARINGS,3.598,5.402,2.34195,0.3998,0
10,ZC000010,104H,BARDEN,BARDEN PRECISION BEARINGS,4.4114,6.5886,2.3444,0.401,0
11,ZC000011,105,BARDEN,BARDEN PRECISION BEARINGS,4.1371,5.8629,2.7496,0.4137,0
12,ZC000012,105H,BARDEN,BARDEN PRECISION BEARINGS,5.3923,7.6077,2.7517,0.4148,0
13,ZC000013,106,BARDEN,BARDEN PRECISION BEARINGS,4.6049,6.3951,2.9254,0.4186,0
14,ZC000014,106H,BARDEN,BARDEN PRECISION BEARINGS,5.875,8.125,2.92735,0.4196,0
15,ZC000015,107,BARDEN,BARDEN PRECISION BEARINGS,4.6193,6.3807,2.9761,0.4199,0
16,ZC000016,107H,BARDEN,BARDEN PRECISION BEARINGS,6.3141,8.6859,2.97805,0.4209,0
17,ZC000017,108,BARDEN,BARDEN PRECISION BEARINGS,5.1373,6.8627,3.3313,0.4281,0
18,ZC000018,108H,BARDEN,BARDEN PRECISION BEARINGS,7.2932,9.7068,3.33305,0.429,0
19,ZC000019,109H,BARDEN,BARDEN PRECISION BEARINGS,6.7732,9.2268,3.07525,0.4233,0
20,ZC000020,110,BARDEN,BARDEN PRECISION BEARINGS,5.5687,7.4313,3.34325,0.4284,0
21,ZC000021,110H,BARDEN,BARDEN PRECISION BEARINGS,7.7266,10.2734,3.345,0.4293,0
22,ZC000022,111,BARDEN,BARDEN PRECISION BEARINGS,5.0991,6.9009,3.1837,0.4249,0
23,ZC000023,111H,BARDEN,BARDEN PRECISION BEARINGS,7.2396,9.7604,3.18555,0.4259,0
24,ZC000024,112H,BARDEN,BARDEN PRECISION BEARINGS,7.7534,10.2466,3.41995,0.4307,0
25,ZC000025,113H,BARDEN,BARDEN PRECISION BEARINGS,8.2647,10.7353,3.6515,0.435,0
26,ZC000026,114H,BARDEN,BARDEN PRECISION BEARINGS,7.7721,10.2279,3.4741,0.4318,0
27,ZC000027,115H,BARDEN,BARDEN PRECISION BEARINGS,8.7087,11.2913,3.67765,0.4354,0
28,ZC000028,116H,BARDEN,BARDEN PRECISION BEARINGS,8.6538,11.3462,3.52255,0.4327,0
29,ZC000029,117H,BARDEN,BARDEN PRECISION BEARINGS,9.1519,11.8481,3.69975,0.4358,0
30,ZC000030,118H,BARDEN,BARDEN PRECISION BEARINGS,8.2337,10.7663,3.5588,0.4334,0
31,ZC000031,119H,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
32,ZC000032,120H,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
33,ZC000033,122H,BARDEN,BARDEN PRECISION BEARINGS,8.631,11.369,3.4618,0.4316,0
34,ZC000034,124H,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.71775,0.4361,0
35,ZC000035,126H,BARDEN,BARDEN PRECISION BEARINGS,8.6525,11.3475,3.5191,0.4326,0
36,ZC000036,1900H,BARDEN,BARDEN PRECISION BEARINGS,3.8018,6.1982,1.8996,0.3802,0
37,ZC000037,1902H,BARDEN,BARDEN PRECISION BEARINGS,5.7782,8.2218,2.6828,0.4127,0
38,ZC000038,1903H,BARDEN,BARDEN PRECISION BEARINGS,5.8577,8.1423,2.8809,0.4184,0
39,ZC000039,1904H,BARDEN,BARDEN PRECISION BEARINGS,5.2762,7.7238,2.47425,0.4059,0
40,ZC000040,1905H,BARDEN,BARDEN PRECISION BEARINGS,6.7186,9.2814,2.93795,0.4199,0
41,ZC000041,1906H,BARDEN,BARDEN PRECISION BEARINGS,7.7457,10.2543,3.39815,0.4303,0
42,ZC000042,1908H,BARDEN,BARDEN PRECISION BEARINGS,8.215,10.785,3.5051,0.4324,0
43,ZC000043,1918H,BARDEN,BARDEN PRECISION BEARINGS,11.702,14.298,4.7887,0.4501,0
44,ZC000044,200,BARDEN,BARDEN PRECISION BEARINGS,2.5699,4.4301,1.71045,0.3671,0
45,ZC000045,200H,BARDEN,BARDEN PRECISION BEARINGS,3.3191,5.6809,1.7137,0.3688,0
46,ZC000046,201,BARDEN,BARDEN PRECISION BEARINGS,2.5912,4.4088,1.75655,0.3702,0
47,ZC000047,201H,BARDEN,BARDEN PRECISION BEARINGS,3.3461,5.6539,1.7597,0.3718,0
48,ZC000048,202,BARDEN,BARDEN PRECISION BEARINGS,2.6302,4.3698,1.84645,0.3757,0
49,ZC000049,202H,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
50,ZC000050,203,BARDEN,BARDEN PRECISION BEARINGS,3.0738,4.9262,1.99895,0.3842,0
51,ZC000051,203H,BARDEN,BARDEN PRECISION BEARINGS,3.8567,6.1433,2.00175,0.3857,0
52,ZC000052,203SST,BARDEN,BAR,3.085,4.915,2.002,0.386,0
53,ZC000053,204,BARDEN,BARDEN PRECISION BEARINGS,3.0807,4.9193,2.0156,0.3851,0
54,ZC000054,204H,BARDEN,BARDEN PRECISION BEARINGS,3.8652,6.1348,2.0184,0.3865,0
55,ZC000055,204SST,BARDEN,BAR,3.104,4.896,2.021,0.388,0
56,ZC000056,205,BARDEN,BARDEN PRECISION BEARINGS,3.5951,5.4049,2.33365,0.3995,0
57,ZC000057,205H,BARDEN,BARDEN PRECISION BEARINGS,4.4078,6.5922,2.3361,0.4007,0
58,ZC000058,206,BARDEN,BARDEN PRECISION BEARINGS,3.5931,5.4069,2.3281,0.3992,0
59,ZC000059,206H,BARDEN,BARDEN PRECISION BEARINGS,4.3143,6.6857,2.13615,0.3922,0
60,ZC000060,206SST,BARDEN,BAR,3.618,5.382,2.333,0.402,0
61,ZC000061,207,BARDEN,BARDEN PRECISION BEARINGS,3.5916,5.4084,2.32415,0.3991,0
62,ZC000062,207H,BARDEN,BARDEN PRECISION BEARINGS,4.804,7.196,2.3266,0.4003,0
63,ZC000063,208,BARDEN,BARDEN PRECISION BEARINGS,3.6266,5.3734,2.4248,0.403,0
64,ZC000064,208H,BARDEN,BARDEN PRECISION BEARINGS,4.85,7.15,2.42715,0.4042,0
65,ZC000065,209,BARDEN,BARDEN PRECISION BEARINGS,4.1084,5.8916,2.6555,0.4108,0
66,ZC000066,209H,BARDEN,BARDEN PRECISION BEARINGS,5.3554,7.6446,2.65765,0.412,0
67,ZC000067,2100H,BARDEN,BARDEN PRECISION BEARINGS,3.421,5.579,0.8906,0.3801,0
68,ZC000068,2101H,BARDEN,BAR,3.931,6.069,2.023,0.393,0
69,ZC000069,2102H,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
70,ZC000070,2103H,BARDEN,BAR,5.42,7.58,2.651,0.417,0
71,ZC000071,2104H,BARDEN,BAR,4.479,6.521,2.356,0.407,0
72,ZC000072,2105H,BARDEN,BARDEN PRECISION BEARINGS,5.4603,7.5397,1.38025,0.42,0
73,ZC000073,2106H,BARDEN,BARDEN PRECISION BEARINGS,6.7816,9.2184,1.45315,0.4238,0
74,ZC000074,2107H,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
75,ZC000075,2108H,BARDEN,BARDEN PRECISION BEARINGS,7.3676,9.6324,1.6706,0.4334,0
76,ZC000076,2109H,BARDEN,BARDEN PRECISION BEARINGS,6.849,9.151,1.5422,0.4281,0
77,ZC000077,210H,BARDEN,BARDEN PRECISION BEARINGS,5.7751,8.2249,2.6755,0.4125,0
78,ZC000078,2110C,BARDEN,BAR,10.108,13.892,2.779,0.421,0
79,ZC000079,2110H,BARDEN,BARDEN PRECISION BEARINGS,7.8049,10.1951,1.67625,0.4336,0
80,ZC000080,2111H,BARDEN,BARDEN PRECISION BEARINGS,7.3174,9.6826,1.59705,0.4304,0
81,ZC000081,2112H,BARDEN,BARDEN PRECISION BEARINGS,7.8304,10.1696,1.71405,0.435,0
82,ZC000082,2113H,BARDEN,BARDEN PRECISION BEARINGS,8.3409,10.6591,1.8294,0.439,0
83,ZC000083,2114H,BARDEN,BARDEN PRECISION BEARINGS,7.8479,10.1521,1.74095,0.436,0
84,ZC000084,2115H,BARDEN,BARDEN PRECISION BEARINGS,8.7884,11.2116,1.84255,0.4394,0
85,ZC000085,2116H,BARDEN,BARDEN PRECISION BEARINGS,8.7366,11.2634,1.7648,0.4368,0
86,ZC000086,2117H,BARDEN,BARDEN PRECISION BEARINGS,9.2352,11.7648,1.85365,0.4398,0
87,ZC000087,2118H,BARDEN,BARDEN PRECISION BEARINGS,8.3118,10.6882,1.78325,0.4375,0
88,ZC000088,2119H,BARDEN,BAR,9.241,11.759,3.725,0.44,0
89,ZC000089,211H,BARDEN,BARDEN PRECISION BEARINGS,5.7514,8.2486,2.6214,0.4108,0
90,ZC000090,2120H,BARDEN,BARDEN PRECISION BEARINGS,9.7339,12.2661,1.9424,0.4424,0
91,ZC000091,2122H,BARDEN,BARDEN PRECISION BEARINGS,8.7154,11.2846,1.73465,0.4358,0
92,ZC000092,2124H,BARDEN,BARDEN PRECISION BEARINGS,9.2412,11.7588,1.8628,0.4401,0
93,ZC000093,2126H,BARDEN,BAR,8.736,11.264,3.528,0.437,0
94,ZC000094,212H,BARDEN,BARDEN PRECISION BEARINGS,5.7385,8.2615,2.59295,0.4099,0
95,ZC000095,213H,BARDEN,BARDEN PRECISION BEARINGS,5.7229,8.2771,2.55915,0.4088,0
96,ZC000096,214H,BARDEN,BARDEN PRECISION BEARINGS,6.203,8.797,1.3546,0.4135,0
97,ZC000097,215H,BARDEN,BARDEN PRECISION BEARINGS,7.1028,9.8972,1.4294,0.4178,0
98,ZC000098,216H,BARDEN,BARDEN PRECISION BEARINGS,6.2452,8.7548,1.40295,0.4163,0
99,ZC000099,217H,BARDEN,BARDEN PRECISION BEARINGS,6.2276,8.7724,1.3824,0.4152,0
100,ZC000100,218H,BARDEN,BARDEN PRECISION BEARINGS,6.2119,8.7881,1.36455,0.4141,0
101,ZC000101,219H,BARDEN,BARDEN PRECISION BEARINGS,6.1548,8.8452,1.3031,0.4103,0
102,ZC000102,2200H,BARDEN,BAR,3.39,5.61,1.726,0.377,0
103,ZC000103,2201H,BARDEN,BARDEN PRECISION BEARINGS,3.905,6.095,0.98495,0.3905,0
104,ZC000104,2202H,BARDEN,BARDEN PRECISION BEARINGS,3.8492,6.1508,0.93225,0.3849,0
105,ZC000105,2203H,BARDEN,BARDEN PRECISION BEARINGS,3.9243,6.0757,1.00445,0.3924,0
106,ZC000106,2204H,BARDEN,BARDEN PRECISION BEARINGS,4.329,6.671,1.0159,0.3935,0
107,ZC000107,2205H,BARDEN,BARDEN PRECISION BEARINGS,4.4761,6.5239,1.17495,0.4069,0
108,ZC000108,2206H,BARDEN,BARDEN PRECISION BEARINGS,4.3875,6.6125,1.0743,0.3989,0
109,ZC000109,2207H,BARDEN,BARDEN PRECISION BEARINGS,4.8781,7.1219,1.16935,0.4065,0
110,ZC000110,2208H,BARDEN,BARDEN PRECISION BEARINGS,4.9212,7.0788,1.21945,0.4101,0
111,ZC000111,2209H,BARDEN,BARDEN PRECISION BEARINGS,5.4258,7.5742,1.33365,0.4174,0
112,ZC000112,220H,BARDEN,BARDEN PRECISION BEARINGS,6.1857,8.8143,1.3357,0.4124,0
113,ZC000113,2210H,BARDEN,BARDEN PRECISION BEARINGS,5.8507,8.1493,1.3428,0.4179,0
114,ZC000114,2211H,BARDEN,BARDEN PRECISION BEARINGS,5.8284,8.1716,1.31585,0.4163,0
115,ZC000115,2212H,BARDEN,BARDEN PRECISION BEARINGS,5.8162,8.1838,1.3015,0.4154,0
116,ZC000116,2213H,BARDEN,BARDEN PRECISION BEARINGS,5.8016,8.1984,1.28465,0.4144,0
117,ZC000117,2214H,BARDEN,BARDEN PRECISION BEARINGS,6.2829,8.7171,1.3594,0.4189,0
118,ZC000118,2215H,BARDEN,BARDEN PRECISION BEARINGS,7.1889,9.8111,1.434,0.4229,0
119,ZC000119,2216H,BARDEN,BARDEN PRECISION BEARINGS,6.3225,8.6775,1.4076,0.4215,0
120,ZC000120,2217H,BARDEN,BAR,6.307,8.693,2.776,0.42,0
121,ZC000121,2218H,BARDEN,BAR,6.291,8.709,2.739,0.419,0
122,ZC000122,2219H,BARDEN,BAR,6.237,8.763,2.616,0.416,0
123,ZC000123,2220H,BARDEN,BAR,6.267,8.733,2.681,0.418,0
124,ZC000124,2222H,BARDEN,BAR,6.247,8.753,2.636,0.416,0
125,ZC000125,222H,BARDEN,BARDEN PRECISION BEARINGS,6.1644,8.8356,1.313,0.411,0
126,ZC000126,2302H,BARDEN,BARDEN PRECISION BEARINGS,3.265,5.735,0.7634,0.3628,0
127,ZC000127,2303H,BARDEN,BARDEN PRECISION BEARINGS,3.7637,6.2363,0.86035,0.3764,0
128,ZC000128,2304H,BARDEN,BAR,3.334,5.666,1.631,0.37,0
129,ZC000129,2305H,BARDEN,BARDEN PRECISION BEARINGS,3.7583,6.2417,0.8561,0.3758,0
130,ZC000130,2306H,BARDEN,BARDEN PRECISION BEARINGS,3.8006,6.1994,0.8902,0.3801,0
131,ZC000131,2307H,BARDEN,BARDEN PRECISION BEARINGS,4.2615,6.7385,0.9552,0.3874,0
132,ZC000132,2308H,BARDEN,BARDEN PRECISION BEARINGS,4.2985,6.7015,0.9877,0.3908,0
133,ZC000133,2309H,BARDEN,BARDEN PRECISION BEARINGS,4.2992,6.7008,0.98835,0.3908,0
134,ZC000134,2310H,BARDEN,BARDEN PRECISION BEARINGS,4.313,6.687,1.00095,0.3921,0
135,ZC000135,2311H,BARDEN,BARDEN PRECISION BEARINGS,4.7193,7.2807,1.0132,0.3933,0
136,ZC000136,2312H,BARDEN,BARDEN PRECISION BEARINGS,4.7278,7.2722,1.02055,0.394,0
137,ZC000137,2313H,BARDEN,BARDEN PRECISION BEARINGS,4.7367,7.2633,1.0284,0.3947,0
138,ZC000138,2314H,BARDEN,BARDEN PRECISION BEARINGS,4.7444,7.2556,1.03535,0.3954,0
139,ZC000139,2315H,BARDEN,BARDEN PRECISION BEARINGS,4.751,7.249,1.0413,0.3959,0
140,ZC000140,2317H,BARDEN,BARDEN PRECISION BEARINGS,5.2297,7.7703,1.11505,0.4023,0
141,ZC000141,2319H,BARDEN,BARDEN PRECISION BEARINGS,4.7709,7.2291,1.0597,0.3976,0
142,ZC000142,2322H,BARDEN,BARDEN PRECISION BEARINGS,5.2193,7.7807,1.10535,0.4015,0
143,ZC000143,302,BARDEN,BARDEN PRECISION BEARINGS,2.5465,4.4535,0.831,0.3638,0
144,ZC000144,302H,BARDEN,BARDEN PRECISION BEARINGS,3.7896,6.2104,0.93905,0.379,0
145,ZC000145,303,BARDEN,BARDEN PRECISION BEARINGS,2.566,4.434,0.8511,0.3666,0
146,ZC000146,304,BARDEN,BARDEN PRECISION BEARINGS,2.5941,4.4059,0.8815,0.3706,0
147,ZC000147,304H,BARDEN,BARDEN PRECISION BEARINGS,3.2564,5.7436,0.8071,0.3618,0
148,ZC000148,305,BARDEN,BARDEN PRECISION BEARINGS,2.6254,4.3746,0.9175,0.3751,0
149,ZC000149,305H,BARDEN,BARDEN PRECISION BEARINGS,3.6766,6.3234,0.84845,0.3677,0
150,ZC000150,306,BARDEN,BARDEN PRECISION BEARINGS,3.0867,4.9133,1.01515,0.3858,0
151,ZC000151,306H,BARDEN,BARDEN PRECISION BEARINGS,3.722,6.278,0.88305,0.3722,0
152,ZC000152,307,BARDEN,BARDEN PRECISION BEARINGS,2.6494,4.3506,0.9468,0.3785,0
153,ZC000153,307H,BARDEN,BARDEN PRECISION BEARINGS,4.1801,6.8199,0.94825,0.38,0
154,ZC000154,308,BARDEN,BARDEN PRECISION BEARINGS,3.0191,4.9809,0.93725,0.3774,0
155,ZC000155,308H,BARDEN,BARDEN PRECISION BEARINGS,4.2195,6.7805,0.981,0.3836,0
156,ZC000156,309,BARDEN,BARDEN PRECISION BEARINGS,3.0576,4.9424,0.9803,0.3822,0
157,ZC000157,309H,BARDEN,BARDEN PRECISION BEARINGS,4.2202,6.7798,0.98165,0.3837,0
158,ZC000158,310,BARDEN,BARDEN PRECISION BEARINGS,2.5577,4.4423,0.8425,0.3654,0
159,ZC000159,310H,BARDEN,BARDEN PRECISION BEARINGS,4.2349,6.7651,0.9943,0.385,0
160,ZC000160,311,BARDEN,BARDEN PRECISION BEARINGS,3.2196,4.7804,1.20575,0.4025,0
161,ZC000161,312,BARDEN,BARDEN PRECISION BEARINGS,3.0846,4.9154,1.0126,0.3856,0
162,ZC000162,313,BARDEN,BARDEN PRECISION BEARINGS,3.091,4.909,1.02055,0.3864,0
163,ZC000163,313H,BARDEN,BARDEN PRECISION BEARINGS,4.6536,7.3464,1.0219,0.3878,0
164,ZC000164,314,BARDEN,BARDEN PRECISION BEARINGS,3.0966,4.9034,1.0275,0.3871,0
165,ZC000165,315,BARDEN,BARDEN PRECISION BEARINGS,3.1014,4.8986,1.03355,0.3877,0
166,ZC000166,316,BARDEN,BARDEN PRECISION BEARINGS,3.1552,4.8448,1.10625,0.3944,0
167,ZC000167,317,BARDEN,BARDEN PRECISION BEARINGS,3.2032,4.7968,1.1788,0.4004,0
168,ZC000168,318,BARDEN,BARDEN PRECISION BEARINGS,3.157,4.843,1.10885,0.3946,0
169,ZC000169,318H,BARDEN,BARDEN PRECISION BEARINGS,5.1473,7.8527,1.11015,0.3959,0
170,ZC000170,319,BARDEN,BARDEN PRECISION BEARINGS,3.1157,4.8843,1.05205,0.3895,0
171,ZC000171,320,BARDEN,BARDEN PRECISION BEARINGS,3.1324,4.8676,1.0744,0.3916,0
172,ZC000172,321,BARDEN,BARDEN PRECISION BEARINGS,3.1718,4.8282,1.13045,0.3965,0
173,ZC000173,322,BARDEN,BARDEN PRECISION BEARINGS,3.1494,4.8506,1.098,0.3937,0
174,ZC000174,34,BARDEN,BARDEN PRECISION BEARINGS,2.0622,3.9378,1.4213,0.3437,0
175,ZC000175,May-34,BARDEN,BARDEN PRECISION BEARINGS,2.0622,3.9378,1.4213,0.3437,0
176,ZC000176,34-5H,BARDEN,BARDEN PRECISION BEARINGS,2.7736,5.2264,1.4271,0.3467,0
177,ZC000177,34H,BARDEN,BARDEN PRECISION BEARINGS,2.7736,5.2264,1.4271,0.3467,0
178,ZC000178,35,BARDEN,BARDEN PRECISION BEARINGS,2.1559,3.8441,1.61145,0.3593,0
179,ZC000179,36,BARDEN,BARDEN PRECISION BEARINGS,2.1559,3.8441,1.61145,0.3593,0
180,ZC000180,36H,BARDEN,BARDEN PRECISION BEARINGS,2.8961,5.1039,1.6167,0.362,0
181,ZC000181,37,BARDEN,BARDEN PRECISION BEARINGS,2.5692,4.4308,1.7206,0.367,0
182,ZC000182,37H,BARDEN,BARDEN PRECISION BEARINGS,3.3262,5.6738,1.7256,0.3696,0
183,ZC000183,38,BARDEN,BARDEN PRECISION BEARINGS,2.5692,4.4308,1.7206,0.367,0
184,ZC000184,38H,BARDEN,BARDEN PRECISION BEARINGS,3.3262,5.6738,1.7256,0.3696,0
185,ZC000185,39,BARDEN,BARDEN PRECISION BEARINGS,2.6317,4.3683,1.7773,0.376,0
186,ZC000186,39H,BARDEN,BARDEN PRECISION BEARINGS,3.3524,5.6476,1.7707,0.3725,0
187,ZC000187,39HJB,BARDEN,BARDEN PRECISION BEARINGS,3.7249,6.2751,1.7707,0.3725,0
188,ZC000188,101.1,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
189,ZC000189,103H.1,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
190,ZC000190,119H.1,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
191,ZC000191,120H.1,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
192,ZC000192,202H.1,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
193,ZC000193,2102H.1,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
194,ZC000194,2107H.1,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
195,ZC000195,2206H.1,BARDEN,BARDEN PRECISION BEARINGS,4.3875,6.6125,1.0743,0.3989,0
196,ZC000196,2212H.1,BARDEN,BARDEN PRECISION BEARINGS,5.8162,8.1838,1.3015,0.4154,0
197,ZC000197,2216H.1,BARDEN,BARDEN PRECISION BEARINGS,6.3225,8.6775,1.4076,0.4215,0
198,ZC000198,2307H.1,BARDEN,BARDEN PRECISION BEARINGS,4.2615,6.7385,0.9552,0.3874,0
199,ZC000199,2308H.1,BARDEN,BARDEN PRECISION BEARINGS,4.2985,6.7015,0.9877,0.3908,0
200,ZC000200,305.1,BARDEN,BARDEN PRECISION BEARINGS,2.6254,4.3746,0.9175,0.3751,0
201,ZC000201,314.1,BARDEN,BARDEN PRECISION BEARINGS,3.0966,4.9034,1.0275,0.3871,0
202,ZC000202,101.2,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
203,ZC000203,103H.2,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
204,ZC000204,119H.2,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
205,ZC000205,120H.2,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
206,ZC000206,202H.2,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
207,ZC000207,2102H.2,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
208,ZC000208,2107H.2,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
209,ZC000209,2206H.2,BARDEN,BARDEN PRECISION BEARINGS,4.3875,6.6125,1.0743,0.3989,0
210,ZC000210,2212H.2,BARDEN,BARDEN PRECISION BEARINGS,5.8162,8.1838,1.3015,0.4154,0
211,ZC000211,2216H.2,BARDEN,BARDEN PRECISION BEARINGS,6.3225,8.6775,1.4076,0.4215,0
212,ZC000212,2307H.2,BARDEN,BARDEN PRECISION BEARINGS,4.2615,6.7385,0.9552,0.3874,0
213,ZC000213,2308H.2,BARDEN,BARDEN PRECISION BEARINGS,4.2985,6.7015,0.9877,0.3908,0
214,ZC000214,305.2,BARDEN,BARDEN PRECISION BEARINGS,2.6254,4.3746,0.9175,0.3751,0
215,ZC000215,314.2,BARDEN,BARDEN PRECISION BEARINGS,3.0966,4.9034,1.0275,0.3871,0
216,ZC000216,101.3,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
217,ZC000217,103H.3,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
218,ZC000218,119H.3,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
219,ZC000219,120H.3,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
220,ZC000220,202H.3,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
221,ZC000221,2102H.3,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
222,ZC000222,2107H.3,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
223,ZC000223,2206H.3,BARDEN,BARDEN PRECISION BEARINGS,4.3875,6.6125,1.0743,0.3989,0
224,ZC000224,2212H.3,BARDEN,BARDEN PRECISION BEARINGS,5.8162,8.1838,1.3015,0.4154,0
225,ZC000225,2216H.3,BARDEN,BARDEN PRECISION BEARINGS,6.3225,8.6775,1.4076,0.4215,0
226,ZC000226,2307H.3,BARDEN,BARDEN PRECISION BEARINGS,4.2615,6.7385,0.9552,0.3874,0
227,ZC000227,2308H.3,BARDEN,BARDEN PRECISION BEARINGS,4.2985,6.7015,0.9877,0.3908,0
228,ZC000228,305.3,BARDEN,BARDEN PRECISION BEARINGS,2.6254,4.3746,0.9175,0.3751,0
229,ZC000229,314.3,BARDEN,BARDEN PRECISION BEARINGS,3.0966,4.9034,1.0275,0.3871,0
230,ZC000230,101.1.1,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
231,ZC000231,103H.1.1,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
232,ZC000232,119H.1.1,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
233,ZC000233,120H.1.1,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
234,ZC000234,202H.1.1,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
235,ZC000235,2102H.1.1,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
236,ZC000236,2107H.1.1,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
237,ZC000237,2206H.1.1,BARDEN,BARDEN PRECISION BEARINGS,4.3875,6.6125,1.0743,0.3989,0
238,ZC000238,2212H.1.1,BARDEN,BARDEN PRECISION BEARINGS,5.8162,8.1838,1.3015,0.4154,0
239,ZC000239,2216H.1.1,BARDEN,BARDEN PRECISION BEARINGS,6.3225,8.6775,1.4076,0.4215,0
240,ZC000240,2307H.1.1,BARDEN,BARDEN PRECISION BEARINGS,4.2615,6.7385,0.9552,0.3874,0
241,ZC000241,2308H.1.1,BARDEN,BARDEN PRECISION BEARINGS,4.2985,6.7015,0.9877,0.3908,0
242,ZC000242,305.1.1,BARDEN,BARDEN PRECISION BEARINGS,2.6254,4.3746,0.9175,0.3751,0
243,ZC000243,314.1.1,BARDEN,BARDEN PRECISION BEARINGS,3.0966,4.9034,1.0275,0.3871,0
244,ZC000244,101.1.2,BARDEN,BARDEN PRECISION BEARINGS,3.0795,4.9205,2.0128,0.3849,0
245,ZC000245,103H.1.2,BARDEN,BARDEN PRECISION BEARINGS,5.3515,7.6485,2.648,0.4117,0
246,ZC000246,119H.1.2,BARDEN,BARDEN PRECISION BEARINGS,9.1582,11.8418,3.7175,0.4361,0
247,ZC000247,120H.1.2,BARDEN,BARDEN PRECISION BEARINGS,9.6505,12.3495,3.87755,0.4387,0
248,ZC000248,202H.1.2,BARDEN,BARDEN PRECISION BEARINGS,3.773,6.227,1.8495,0.3773,0
249,ZC000249,2102H.1.2,BARDEN,BARDEN PRECISION BEARINGS,4.3215,6.6785,1.00885,0.3929,0
250,ZC000250,2107H.1.2,BARDEN,BARDEN PRECISION BEARINGS,6.3875,8.6125,1.4939,0.4258,0
